year,week,hour,branch,value
2035,21,139,35,-10000.0
2035,21,140,35,-10000.0
2035,21,141,35,-10000.0
2035,21,142,35,-10000.0
2035,21,143,35,-10000.0
2035,21,144,35,-10000.0
2035,21,145,35,-10000.0
2035,21,146,35,-10000.0
2035,21,147,35,-10000.0
2035,21,148,35,-10000.0
2035,21,149,35,-10000.0
2035,21,150,35,-10000.0
2035,21,151,35,-10000.0
2035,21,152,35,-10000.0
2035,21,153,35,-10000.0
2035,21,154,35,-10000.0
2035,21,155,35,-9541.316254737698
2035,21,156,35,-8711.472735391046
2035,21,157,35,-6438.771043368002
2035,21,158,35,-6426.505858673576
2035,21,159,35,-9265.009149821177
2035,21,160,35,-10000.0
2035,21,161,35,-10000.0
2035,21,162,35,-10000.0
2035,21,163,35,-10000.0
2035,21,164,35,-10000.0
2035,21,165,35,-10000.0
2035,21,166,35,-10000.0
2035,21,167,35,-10000.0
2035,42,0,35,-10000.0
2035,42,1,35,-10000.0
2035,42,2,35,-10000.0
2035,42,3,35,-10000.0
2035,42,4,35,-9502.338175351855
2035,42,5,35,-8361.545586284949
2035,42,6,35,-7451.1913650788265
2035,42,7,35,-6286.715352545764
2035,42,8,35,-6346.039311294784
2035,42,9,35,-6715.7572812102035
2035,42,10,35,-6992.865225480206
2035,42,11,35,-7087.759380465372
2035,42,12,35,-8131.075629691719
2035,42,13,35,-8553.771566006242
2035,42,14,35,-8621.61313284334
2035,42,15,35,-7838.873482516105
2035,42,16,35,-7688.058892982088
2035,42,17,35,-6954.526630102052
2035,42,18,35,-5918.747064772596
2035,42,19,35,-6550.762767746606
2035,42,20,35,-7450.171663174448
2035,42,21,35,-8466.796986270696
2035,42,22,35,-9545.125789139684
2035,42,23,35,-10000.0
2035,42,24,35,-10000.0
2035,42,25,35,-10000.0
2035,42,26,35,-10000.0
2035,42,27,35,-10000.0
2035,42,28,35,-10000.0
2035,42,29,35,-10000.0
2035,42,30,35,-10000.0
2035,42,31,35,-8774.574711136103
2035,42,32,35,-8365.706452370261
2035,42,33,35,-8672.05185177175
2035,42,34,35,-8690.139968485271
2035,42,35,35,-8497.360328578205
2035,42,36,35,-2659.7930576443414
2035,42,37,35,-764.2632613997612
2035,42,38,35,-2040.5995665880891
2035,42,39,35,-7115.426540271012
2035,42,40,35,-8740.631546532732
2035,42,41,35,-7831.440519854229
2035,42,42,35,-6929.8813832852065
2035,42,43,35,-7909.434812617795
2035,42,44,35,-9195.962813368826
2035,42,45,35,-10000.0
2035,42,46,35,-10000.0
2035,42,47,35,-9022.380624457155
2035,42,48,35,-7794.393679699146
2035,42,49,35,-7923.596071582435
2035,42,50,35,-8740.008890004401
2035,42,51,35,-9830.796622788259
2035,42,52,35,-10000.0
2035,42,53,35,-10000.0
2035,42,54,35,-9168.912649968412
2035,42,55,35,-8193.043584056764
2035,42,56,35,-8742.454453637272
2035,42,57,35,-9232.67640640954
2035,42,58,35,-8669.428995112372
2035,42,59,35,-9227.79342209494
2035,42,60,35,-8754.094186843104
2035,42,61,35,-8180.691957255444
2035,42,62,35,-7935.925119132122
2035,42,63,35,-7457.262855356535
2035,42,64,35,-7256.6859748488205
2035,42,65,35,-6286.663054772783
2035,42,66,35,-5503.6751384765585
2035,42,67,35,-7130.279094429963
2035,42,68,35,-8852.726317761402
2035,42,69,35,-10000.0
2035,42,70,35,-10000.0
2035,42,71,35,-10000.0
2035,42,72,35,-10000.0
2035,42,73,35,-10000.0
2035,42,74,35,-10000.0
2035,42,75,35,-10000.0
2035,42,76,35,-10000.0
2035,42,77,35,-8805.973772568615
2035,42,78,35,-7402.707657181841
2035,42,79,35,-5853.35808839796
2035,42,80,35,-6095.907186767732
2035,42,81,35,-6267.791086558321
2035,42,82,35,-6183.610142343141
2035,42,83,35,-6908.72332456743
2035,42,84,35,-6827.374263204738
2035,42,85,35,-6631.259581737634
2035,42,86,35,-6155.607991267
2035,42,87,35,-5729.344998513441
2035,42,88,35,-5398.054713753164
2035,42,89,35,-4366.697386542587
2035,42,90,35,-3268.9734727006035
2035,42,91,35,-4053.034397733674
2035,42,92,35,-4948.450791536025
2035,42,93,35,-5980.911718377576
2035,42,94,35,-6857.957136059432
2035,42,95,35,-7632.005319747053
2035,42,96,35,-8243.177430419497
2035,42,97,35,-8973.27772123051
2035,42,98,35,-10000.0
2035,42,99,35,-10000.0
2035,42,100,35,-10000.0
2035,42,101,35,-10000.0
2035,42,102,35,-10000.0
2035,42,103,35,-10000.0
2035,42,104,35,-10000.0
2035,42,105,35,-10000.0
2035,42,106,35,-10000.0
2035,42,107,35,-6054.699224801572
2035,42,108,35,-3453.3266306824476
2035,42,109,35,-3381.6545738058767
2035,42,110,35,-3949.3232925522007
2035,42,111,35,-5088.18324272823
2035,42,112,35,-10000.0
2035,42,113,35,-10000.0
2035,42,114,35,-10000.0
2035,42,115,35,-10000.0
2035,42,116,35,-10000.0
2035,42,117,35,-10000.0
2035,42,118,35,-10000.0
2035,42,119,35,-10000.0
2035,42,120,35,-10000.0
2035,42,121,35,-10000.0
