generator,bus,carrier,p_nom,marginal_cost,capital_cost,co2_emissions,color,nice_name
DE1 12 ror,DE1 12,ror,280.661,0.0,299140.2249292296,0.0,#4adbc8,Run of River
DE1 12 solar,DE1 12,solar,4146.057161272814,0.009999999999999998,35602.07124380445,0.0,#f9d002,Solar
DE1 13 CCGT,DE1 13,CCGT,311.11,41.21754849260191,99027.72929315244,0.2,#b20101,Combined-Cycle Gas
DE1 13 OCGT,DE1 13,OCGT,350.8999999999999,55.650988367374055,45095.441515122504,0.2,#d35050,Open-Cycle Gas
DE1 13 biomass,DE1 13,biomass,185.6524,14.893617021276594,278083.0653560446,0.0,#0c6013,Biomass
DE1 13 lignite,DE1 13,lignite,1933.9738246135641,11.071657983678298,349976.5536298572,0.41,#9e5a01,Lignite
DE1 13 oil,DE1 13,oil,17.0,137.75230566534916,37870.8074066883,0.26,#262626,Oil
DE1 13 onwind,DE1 13,onwind,1030.4951792147624,0.015,96085.8880199663,0.0,#235ebc,Onshore Wind
DE1 13 ror,DE1 13,ror,63.76944,0.0,299140.22492922953,0.0,#4adbc8,Run of River
DE1 13 solar,DE1 13,solar,1625.8264614335005,0.01,35602.07124380446,0.0,#f9d002,Solar
DE1 14 CCGT,DE1 14,CCGT,353.0,42.05310734463277,99027.72929315244,0.2,#b20101,Combined-Cycle Gas
DE1 14 OCGT,DE1 14,OCGT,632.0685,56.9167094599049,45095.44151512249,0.2,#d35050,Open-Cycle Gas
DE1 14 biomass,DE1 14,biomass,301.37055,14.8936170212766,278083.0653560446,0.0,#0c6013,Biomass
DE1 14 coal,DE1 14,coal,3481.233947982546,27.368134612916826,349976.5536298572,0.34,#707070,Coal
DE1 14 nuclear,DE1 14,nuclear,2722.0,11.378787878787879,706772.616768959,0.0,#ff9000,Nuclear
DE1 14 oil,DE1 14,oil,70.0,137.75230566534916,37870.8074066883,0.26,#262626,Oil
DE1 14 onwind,DE1 14,onwind,853.3390906869703,0.015000000000000003,96085.88801996631,0.0,#235ebc,Onshore Wind
DE1 14 ror,DE1 14,ror,195.90403,0.0,299140.2249292296,0.0,#4adbc8,Run of River
DE1 14 solar,DE1 14,solar,3320.8660366395934,0.010000000000000002,35602.07124380444,0.0,#f9d002,Solar
DE1 15 CCGT,DE1 15,CCGT,183.0,42.541192651537486,99027.72929315244,0.2,#b20101,Combined-Cycle Gas
DE1 15 OCGT,DE1 15,OCGT,135.7,57.391607600404924,45095.4415151225,0.2,#d35050,Open-Cycle Gas
DE1 15 biomass,DE1 15,biomass,345.71785000000006,14.893617021276599,278083.0653560446,0.0,#0c6013,Biomass
DE1 15 coal,DE1 15,coal,509.83113697943537,28.196969696969695,349976.5536298572,0.34,#707070,Coal
DE1 15 offwind-ac,DE1 15,offwind-ac,2009.053029847486,0.015,187906.5475787719,0.0,#6895dd,Offshore Wind (AC)
DE1 15 offwind-dc,DE1 15,offwind-dc,61.3459607620185,0.015,202353.78582643444,0.0,#74c6f2,Offshore Wind (DC)
DE1 15 onwind,DE1 15,onwind,3908.901758666103,0.015000000000000001,96085.88801996631,0.0,#235ebc,Onshore Wind
DE1 15 ror,DE1 15,ror,0.475,0.0,299140.2249292296,0.0,#4adbc8,Run of River
DE1 15 solar,DE1 15,solar,2350.8105420717625,0.01,35602.07124380445,0.0,#f9d002,Solar
DE1 16 CCGT,DE1 16,CCGT,965.4,41.78659828249802,99027.72929315244,0.2,#b20101,Combined-Cycle Gas
DE1 16 OCGT,DE1 16,OCGT,200.4,57.17498934646069,45095.4415151225,0.2,#d35050,Open-Cycle Gas
DE1 16 biomass,DE1 16,biomass,474.48705999999993,14.893617021276599,278083.06535604456,0.0,#0c6013,Biomass
DE1 16 lignite,DE1 16,lignite,968.9970792091179,10.774964240092846,349976.5536298572,0.41,#9e5a01,Lignite
DE1 16 oil,DE1 16,oil,212.5,140.395401236351,37870.8074066883,0.26,#262626,Oil
DE1 16 onwind,DE1 16,onwind,4327.4543351825505,0.015000000000000001,96085.88801996628,0.0,#235ebc,Onshore Wind
