generator,week,value
ES1 0 offwind-ac new,25,0.0
ES1 0 offwind-ac new,26,0.0
ES1 0 offwind-ac new,27,0.0
ES1 0 offwind-ac new,28,0.0
ES1 0 offwind-ac new,29,0.0
ES1 0 offwind-ac new,30,0.0
ES1 0 offwind-ac new,31,0.0
ES1 0 offwind-ac new,32,0.0
ES1 0 offwind-ac new,33,0.0
ES1 0 offwind-ac new,34,0.0
ES1 0 offwind-ac new,35,0.0
ES1 0 offwind-ac new,36,0.0
ES1 0 offwind-ac new,37,0.0
ES1 0 offwind-ac new,38,0.0
ES1 0 offwind-ac new,39,0.0
ES1 0 offwind-ac new,40,0.0
ES1 0 offwind-ac new,41,0.0
ES1 0 offwind-ac new,42,0.0
ES1 0 offwind-ac new,43,0.0
ES1 0 offwind-ac new,44,0.0
ES1 0 offwind-ac new,45,0.0
ES1 0 offwind-ac new,46,0.0
